Year,Month,day,Hour,Demand,Price
2013.0,1.0,4.0,3.0,9644.0699999999997,30.219660000000001
2013.0,1.0,4.0,4.0,9596.6000000000004,29.967690000000001
2013.0,1.0,4.0,5.0,9888.4599999999991,31.468800000000002
2013.0,1.0,4.0,6.0,10642.209999999999,36.09104
2013.0,1.0,4.0,7.0,11983.629999999999,40.519280000000002
2013.0,1.0,4.0,8.0,12965.73,41.099969999999999
2013.0,1.0,4.0,9.0,12941.26,40.353169999999999
2013.0,1.0,4.0,10.0,12811.77,40.300199999999997
2013.0,1.0,4.0,11.0,12596.790000000001,37.708539999999999
2013.0,1.0,4.0,12.0,12306.33,36.374479999999998
2013.0,1.0,4.0,13.0,12021.34,34.831910000000001
2013.0,1.0,4.0,14.0,11818.559999999999,34.083219999999997
2013.0,1.0,4.0,15.0,11671.91,34.492170000000002
2013.0,1.0,4.0,16.0,11686.790000000001,33.199399999999997
2013.0,1.0,4.0,17.0,12013.6,36.537869999999998
2013.0,1.0,4.0,18.0,13276.219999999999,47.296509999999998
2013.0,1.0,4.0,19.0,13581.200000000001,46.65352
2013.0,1.0,4.0,20.0,13281.530000000001,41.400759999999998
2013.0,1.0,4.0,21.0,12929.629999999999,42.077979999999997
2013.0,1.0,4.0,22.0,12416.07,40.688929999999999
2013.0,1.0,4.0,23.0,11716.09,38.90455
2013.0,1.0,4.0,24.0,10850.73,35.96555
2013.0,1.0,5.0,1.0,9959.2000000000007,33.745809999999999
2013.0,1.0,5.0,2.0,9533.5499999999993,34.870980000000003
2013.0,1.0,5.0,3.0,9294.7399999999998,32.85801
2013.0,1.0,5.0,4.0,9188.9699999999993,32.794310000000003
2013.0,1.0,5.0,5.0,9298.6700000000001,32.341360000000002
2013.0,1.0,5.0,6.0,9603.2999999999993,33.946260000000002
2013.0,1.0,5.0,7.0,10097.870000000001,32.7502
2013.0,1.0,5.0,8.0,10663.42,35.391579999999998
2013.0,1.0,5.0,9.0,11134.950000000001,36.043340000000001
2013.0,1.0,5.0,10.0,11466.27,39.359549999999999
2013.0,1.0,5.0,11.0,11549.84,36.580739999999999
2013.0,1.0,5.0,12.0,11456.209999999999,35.626519999999999
2013.0,1.0,5.0,13.0,11324.799999999999,32.982930000000003
2013.0,1.0,5.0,14.0,11163.629999999999,32.208680000000001
2013.0,1.0,5.0,15.0,11025.190000000001,32.052480000000003
2013.0,1.0,5.0,16.0,11059.84,32.059570000000001
2013.0,1.0,5.0,17.0,11487.84,36.799840000000003
2013.0,1.0,5.0,18.0,12605.799999999999,47.797499999999999
2013.0,1.0,5.0,19.0,12855.610000000001,47.960149999999999
2013.0,1.0,5.0,20.0,12540.120000000001,45.286470000000001
2013.0,1.0,5.0,21.0,12238.74,42.562629999999999
2013.0,1.0,5.0,22.0,11766.389999999999,40.002189999999999
2013.0,1.0,5.0,23.0,11135.870000000001,39.986490000000003
2013.0,1.0,5.0,24.0,10331.219999999999,35.483400000000003
2013.0,1.0,6.0,1.0,9855.5499999999993,34.623429999999999
2013.0,1.0,6.0,2.0,9343.5300000000007,33.67848
2013.0,1.0,6.0,3.0,9053.4200000000001,31.989529999999998
2013.0,1.0,6.0,4.0,8909.6900000000005,30.761150000000001
2013.0,1.0,6.0,5.0,8963.9899999999998,31.185220000000001
2013.0,1.0,6.0,6.0,9228.3899999999994,32.064630000000001
2013.0,1.0,6.0,7.0,9729.0200000000004,33.880319999999998
2013.0,1.0,6.0,8.0,10321.09,34.564320000000002
2013.0,1.0,6.0,9.0,10808.07,35.084620000000001
2013.0,1.0,6.0,10.0,11179.52,39.091990000000003
2013.0,1.0,6.0,11.0,11277.280000000001,40.196680000000001
2013.0,1.0,6.0,12.0,11207.73,38.001040000000003
2013.0,1.0,6.0,13.0,11123.4,35.14884
2013.0,1.0,6.0,14.0,11001.51,35.184310000000004
2013.0,1.0,6.0,15.0,10913.07,33.832569999999997
2013.0,1.0,6.0,16.0,10973.73,33.277459999999998
2013.0,1.0,6.0,17.0,11514.459999999999,36.881729999999997
2013.0,1.0,6.0,18.0,13176.85,50.349899999999998
2013.0,1.0,6.0,19.0,13734.209999999999,52.702959999999997
2013.0,1.0,6.0,20.0,13568.889999999999,50.456949999999999
2013.0,1.0,6.0,21.0,13241.08,47.748919999999998
2013.0,1.0,6.0,22.0,12517.73,43.711399999999998
2013.0,1.0,6.0,23.0,11472.059999999999,40.9846
2013.0,1.0,6.0,24.0,10357.09,36.565260000000002
2013.0,1.0,7.0,1.0,9523.8899999999994,32.099069999999998
2013.0,1.0,7.0,2.0,9202.9200000000001,30.840199999999999
2013.0,1.0,7.0,3.0,9064.1399999999994,28.769739999999999
2013.0,1.0,7.0,4.0,9090.9500000000007,29.220459999999999
2013.0,1.0,7.0,5.0,9414.1800000000003,30.89265
2013.0,1.0,7.0,6.0,10156.469999999999,33.191240000000001
2013.0,1.0,7.0,7.0,11397.65,40.481589999999997
2013.0,1.0,7.0,8.0,12384.02,41.271279999999997
2013.0,1.0,7.0,9.0,12564.309999999999,39.106400000000001
2013.0,1.0,7.0,10.0,12582.41,39.384140000000002
2013.0,1.0,7.0,11.0,12502.059999999999,38.21725
2013.0,1.0,7.0,12.0,12351.91,35.775820000000003
2013.0,1.0,7.0,13.0,12166.389999999999,34.099820000000001
2013.0,1.0,7.0,14.0,12066.190000000001,34.016959999999997
2013.0,1.0,7.0,15.0,11944.07,33.794510000000002
2013.0,1.0,7.0,16.0,11970.540000000001,34.22804
2013.0,1.0,7.0,17.0,12320.34,36.973179999999999
2013.0,1.0,7.0,18.0,13636.08,53.248899999999999
2013.0,1.0,7.0,19.0,14079.719999999999,50.88203
2013.0,1.0,7.0,20.0,13837.610000000001,46.063540000000003
2013.0,1.0,7.0,21.0,13368.76,44.104309999999998
2013.0,1.0,7.0,22.0,12625.280000000001,40.871369999999999
2013.0,1.0,7.0,23.0,11559.23,37.124600000000001
2013.0,1.0,7.0,24.0,10517.870000000001,36.0428
2013.0,1.0,8.0,1.0,9986.0900000000001,33.946669999999997
2013.0,1.0,8.0,2.0,9637.1800000000003,32.67127
2013.0,1.0,8.0,3.0,9430.7700000000004,31.476489999999998
2013.0,1.0,8.0,4.0,9388.4500000000007,31.13449
2013.0,1.0,8.0,5.0,9677.6200000000008,33.090110000000003
2013.0,1.0,8.0,6.0,10428.84,36.230719999999998
2013.0,1.0,8.0,7.0,11820.1,42.252389999999998
2013.0,1.0,8.0,8.0,12807.84,42.949420000000003
2013.0,1.0,8.0,9.0,12917.190000000001,42.283560000000001
2013.0,1.0,8.0,10.0,12939.639999999999,40.768830000000001
2013.0,1.0,8.0,11.0,12902.09,42.096789999999999
2013.0,1.0,8.0,12.0,12779.59,39.28004
2013.0,1.0,8.0,13.0,12593.4,37.549680000000002
2013.0,1.0,8.0,14.0,12523.51,36.376609999999999
2013.0,1.0,8.0,15.0,12390.059999999999,36.840449999999997
2013.0,1.0,8.0,16.0,12383.860000000001,36.480269999999997
2013.0,1.0,8.0,17.0,12646.190000000001,38.973329999999997
2013.0,1.0,8.0,18.0,13935.709999999999,53.707549999999998
2013.0,1.0,8.0,19.0,14381.91,53.270740000000004
2013.0,1.0,8.0,20.0,14106.610000000001,48.628039999999999
2013.0,1.0,8.0,21.0,13615.209999999999,46.268540000000002
2013.0,1.0,8.0,22.0,12832.389999999999,41.51211
2013.0,1.0,8.0,23.0,11713.440000000001,40.595689999999998
2013.0,1.0,8.0,24.0,10655.969999999999,36.582180000000001
2013.0,1.0,9.0,1.0,9667.6299999999992,32.687779999999997
2013.0,1.0,9.0,2.0,9279.2199999999993,29.480630000000001
2013.0,1.0,9.0,3.0,9071.7800000000007,29.045480000000001
2013.0,1.0,9.0,4.0,9030.4300000000003,28.6449
2013.0,1.0,9.0,5.0,9291.25,30.023769999999999
2013.0,1.0,9.0,6.0,10059.299999999999,34.712179999999996
2013.0,1.0,9.0,7.0,11408.4,39.054679999999998
2013.0,1.0,9.0,8.0,12425.469999999999,42.530679999999997
2013.0,1.0,9.0,9.0,12584.82,40.474550000000001
2013.0,1.0,9.0,10.0,12696.42,40.480080000000001
2013.0,1.0,9.0,11.0,12614.860000000001,41.388390000000001
2013.0,1.0,9.0,12.0,12485.32,38.840499999999999
2013.0,1.0,9.0,13.0,12263.870000000001,36.769199999999998
2013.0,1.0,9.0,14.0,12190.309999999999,36.07235
2013.0,1.0,9.0,15.0,12088.950000000001,35.926389999999998
2013.0,1.0,9.0,16.0,12099.49,35.62379
2013.0,1.0,9.0,17.0,12401.26,38.682769999999998
2013.0,1.0,9.0,18.0,13555.110000000001,48.289340000000003
2013.0,1.0,9.0,19.0,13939.92,49.258749999999999
2013.0,1.0,9.0,20.0,13645.799999999999,46.325580000000002
2013.0,1.0,9.0,21.0,13219.969999999999,44.289949999999997
2013.0,1.0,9.0,22.0,12477.200000000001,40.559719999999999
2013.0,1.0,9.0,23.0,11406.780000000001,38.769820000000003
2013.0,1.0,9.0,24.0,10394.92,34.000799999999998
2013.0,1.0,10.0,1.0,9691.0200000000004,30.780709999999999
2013.0,1.0,10.0,2.0,9312.8999999999996,28.544989999999999
2013.0,1.0,10.0,3.0,9110.3999999999996,28.33587
2013.0,1.0,10.0,4.0,9060.4099999999999,28.07564
2013.0,1.0,10.0,5.0,9395.0699999999997,28.896439999999998
2013.0,1.0,10.0,6.0,10132.040000000001,34.496279999999999
2013.0,1.0,10.0,7.0,11458.780000000001,36.552390000000003
2013.0,1.0,10.0,8.0,12446.280000000001,41.62444
2013.0,1.0,10.0,9.0,12586.440000000001,40.162190000000002
2013.0,1.0,10.0,10.0,12704.84,39.967640000000003
2013.0,1.0,10.0,11.0,12551.48,40.598909999999997
2013.0,1.0,10.0,12.0,12467.66,38.534480000000002
2013.0,1.0,10.0,13.0,12241.77,37.354109999999999
2013.0,1.0,10.0,14.0,12179.959999999999,36.353230000000003
2013.0,1.0,10.0,15.0,12089.459999999999,35.214170000000003
2013.0,1.0,10.0,16.0,12150.709999999999,34.622549999999997
2013.0,1.0,10.0,17.0,12455.5,39.195799999999998
2013.0,1.0,10.0,18.0,13732.610000000001,47.750749999999996
2013.0,1.0,10.0,19.0,14169.98,47.535429999999998
2013.0,1.0,10.0,20.0,13888.09,45.16619
2013.0,1.0,10.0,21.0,13500.77,43.557989999999997
2013.0,1.0,10.0,22.0,12744.780000000001,40.091929999999998
2013.0,1.0,10.0,23.0,11639.52,37.16084
2013.0,1.0,10.0,24.0,10601.620000000001,33.545839999999998
2013.0,1.0,11.0,1.0,9869.4899999999998,31.32094
2013.0,1.0,11.0,2.0,9349.75,29.37228
2013.0,1.0,11.0,3.0,9183.9400000000005,28.605989999999998
2013.0,1.0,11.0,4.0,9178.8999999999996,28.18139
2013.0,1.0,11.0,5.0,9520.0,31.415849999999999
2013.0,1.0,11.0,6.0,10242.27,37.346069999999997
2013.0,1.0,11.0,7.0,11436.469999999999,40.089239999999997
2013.0,1.0,11.0,8.0,12416.02,44.712899999999998
2013.0,1.0,11.0,9.0,12595.940000000001,40.958840000000002
2013.0,1.0,11.0,10.0,12665.6,49.981380000000001
2013.0,1.0,11.0,11.0,12566.139999999999,50.03172
2013.0,1.0,11.0,12.0,12424.559999999999,45.359310000000001
2013.0,1.0,11.0,13.0,12211.67,45.333579999999998
2013.0,1.0,11.0,14.0,12109.360000000001,42.998660000000001
2013.0,1.0,11.0,15.0,12033.799999999999,42.765479999999997
2013.0,1.0,11.0,16.0,12128.059999999999,42.786140000000003
2013.0,1.0,11.0,17.0,12530.059999999999,46.908380000000001
2013.0,1.0,11.0,18.0,13601.129999999999,54.218789999999998
2013.0,1.0,11.0,19.0,13825.5,53.739809999999999
2013.0,1.0,11.0,20.0,13494.959999999999,43.935169999999999
2013.0,1.0,11.0,21.0,13070.610000000001,42.191000000000003
2013.0,1.0,11.0,22.0,12474.559999999999,40.74897
2013.0,1.0,11.0,23.0,11642.379999999999,38.984960000000001
2013.0,1.0,11.0,24.0,10745.450000000001,35.806480000000001
2013.0,1.0,12.0,1.0,11295.639999999999,34.249920000000003
2013.0,1.0,12.0,2.0,11078.190000000001,34.360149999999997
2013.0,1.0,12.0,3.0,10875.6,33.764969999999998
2013.0,1.0,12.0,4.0,10792.93,33.277830000000002
2013.0,1.0,12.0,5.0,10942.059999999999,34.492899999999999
2013.0,1.0,12.0,6.0,11366.24,36.988480000000003
2013.0,1.0,12.0,7.0,12125.040000000001,37.341810000000002
2013.0,1.0,12.0,8.0,12694.93,41.840510000000002
2013.0,1.0,12.0,9.0,13032.469999999999,40.21181
2013.0,1.0,12.0,10.0,13253.139999999999,41.198639999999997
2013.0,1.0,12.0,11.0,13381.530000000001,40.551070000000003
2013.0,1.0,12.0,12.0,13320.700000000001,37.417940000000002
2013.0,1.0,12.0,13.0,13216.969999999999,34.10286
2013.0,1.0,12.0,14.0,13125.299999999999,32.416969999999999
2013.0,1.0,12.0,15.0,13011.33,31.694780000000002
2013.0,1.0,12.0,16.0,13104.35,32.097140000000003
2013.0,1.0,12.0,17.0,13493.969999999999,37.709760000000003
2013.0,1.0,12.0,18.0,14660.65,48.702500000000001
2013.0,1.0,12.0,19.0,14995.690000000001,51.089280000000002
2013.0,1.0,12.0,20.0,14694.040000000001,45.878990000000002
2013.0,1.0,12.0,21.0,14263.940000000001,43.04907
2013.0,1.0,12.0,22.0,13778.290000000001,42.321069999999999
2013.0,1.0,12.0,23.0,12975.530000000001,40.551929999999999
2013.0,1.0,12.0,24.0,11925.1,36.676180000000002
2013.0,1.0,13.0,1.0,11385.75,36.03407
2013.0,1.0,13.0,2.0,11160.370000000001,35.819090000000003
2013.0,1.0,13.0,3.0,10878.35,34.082729999999998
2013.0,1.0,13.0,4.0,10821.440000000001,34.280320000000003
2013.0,1.0,13.0,5.0,10988.1,34.479210000000002
2013.0,1.0,13.0,6.0,11376.33,35.802959999999999
2013.0,1.0,13.0,7.0,11959.68,36.169870000000003
2013.0,1.0,13.0,8.0,12446.940000000001,36.761659999999999
2013.0,1.0,13.0,9.0,12775.41,36.664389999999997
2013.0,1.0,13.0,10.0,12999.33,39.029330000000002
2013.0,1.0,13.0,11.0,13040.08,41.68318
2013.0,1.0,13.0,12.0,12914.379999999999,39.353700000000003
2013.0,1.0,13.0,13.0,12733.57,36.40898
2013.0,1.0,13.0,14.0,12645.860000000001,35.317729999999997
2013.0,1.0,13.0,15.0,12574.549999999999,34.634059999999998
2013.0,1.0,13.0,16.0,12736.969999999999,35.164050000000003
2013.0,1.0,13.0,17.0,13206.25,38.285530000000001
2013.0,1.0,13.0,18.0,14744.190000000001,53.676049999999996
2013.0,1.0,13.0,19.0,15271.219999999999,57.591479999999997
2013.0,1.0,13.0,20.0,15119.48,54.20984
2013.0,1.0,13.0,21.0,14614.559999999999,48.433369999999996
2013.0,1.0,13.0,22.0,13909.469999999999,46.40052
2013.0,1.0,13.0,23.0,12892.26,42.829700000000003
2013.0,1.0,13.0,24.0,11912.01,38.500109999999999
2013.0,1.0,14.0,1.0,10924.32,33.283149999999999
2013.0,1.0,14.0,2.0,10667.92,33.108580000000003
2013.0,1.0,14.0,3.0,10640.959999999999,32.300089999999997
2013.0,1.0,14.0,4.0,10765.68,33.121729999999999
2013.0,1.0,14.0,5.0,11157.99,35.361730000000001
2013.0,1.0,14.0,6.0,12016.190000000001,40.616019999999999
2013.0,1.0,14.0,7.0,13559.1,49.268270000000001
2013.0,1.0,14.0,8.0,14677.200000000001,52.759210000000003
2013.0,1.0,14.0,9.0,14678.299999999999,49.181840000000001
2013.0,1.0,14.0,10.0,14388.07,45.983110000000003
2013.0,1.0,14.0,11.0,14215.4,43.85622
2013.0,1.0,14.0,12.0,13931.1,41.164529999999999
2013.0,1.0,14.0,13.0,13587.690000000001,39.209380000000003
2013.0,1.0,14.0,14.0,13422.73,36.653190000000002
2013.0,1.0,14.0,15.0,13202.370000000001,35.14264
2013.0,1.0,14.0,16.0,13296.32,35.125210000000003
2013.0,1.0,14.0,17.0,13761.98,45.390309999999999
2013.0,1.0,14.0,18.0,15392.26,56.229610000000001
2013.0,1.0,14.0,19.0,15894.389999999999,62.901870000000002
2013.0,1.0,14.0,20.0,15672.99,56.337989999999998
2013.0,1.0,14.0,21.0,15108.629999999999,50.832979999999999
2013.0,1.0,14.0,22.0,14372.77,49.94408
2013.0,1.0,14.0,23.0,13193.42,44.436950000000003
2013.0,1.0,14.0,24.0,12086.16,38.562019999999997
2013.0,1.0,15.0,1.0,10505.23,34.387320000000003
2013.0,1.0,15.0,2.0,10095.190000000001,34.10154
2013.0,1.0,15.0,3.0,9936.4799999999996,32.541640000000001
2013.0,1.0,15.0,4.0,9973.75,32.82076
2013.0,1.0,15.0,5.0,10311.200000000001,35.839280000000002
2013.0,1.0,15.0,6.0,11180.66,43.48471
2013.0,1.0,15.0,7.0,12545.65,46.777340000000002
2013.0,1.0,15.0,8.0,13507.02,50.748390000000001
2013.0,1.0,15.0,9.0,13422.41,46.888100000000001
2013.0,1.0,15.0,10.0,13219.209999999999,44.405990000000003
2013.0,1.0,15.0,11.0,12992.049999999999,43.582169999999998
2013.0,1.0,15.0,12.0,12723.82,42.604329999999997
2013.0,1.0,15.0,13.0,12398.73,38.944839999999999
2013.0,1.0,15.0,14.0,12257.27,38.635260000000002
2013.0,1.0,15.0,15.0,12136.91,38.998080000000002
2013.0,1.0,15.0,16.0,12209.1,38.337470000000003
2013.0,1.0,15.0,17.0,12561.52,40.820050000000002
2013.0,1.0,15.0,18.0,13910.52,54.799570000000003
2013.0,1.0,15.0,19.0,14464.67,59.611660000000001
